repeat,seed,n_cells,n_sites,edit_states,missing_rate,algorithm,possible_triplets,inferred_triplets,triplet_coverage,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds
0,6403005,64,20,3,0.0,FullTripletTMC_SMJ16,41664,37989,0.9117943548387096,0.9472,0.576271186440678,1.6154033010000148,10.155768409000018
0,6403005,64,20,3,0.0,VanillaGreedy,41664,37989,0.9117943548387096,0.8312,0.5040650406504066,0.0,0.03970300899999302
0,6403005,64,20,3,0.0,UPGMA,41664,37989,0.9117943548387096,0.9862,0.5806451612903225,0.0,2.0575434159999872
0,6403005,64,20,3,0.0,NeighborJoining,41664,37989,0.9117943548387096,0.981,0.6612903225806452,0.0,3.019402243000002
1,6403006,64,20,3,0.0,FullTripletTMC_SMJ16,41664,39449,0.9468365975422427,0.9316,0.7226890756302521,0.9706766559999664,5.136822805999998
1,6403006,64,20,3,0.0,VanillaGreedy,41664,39449,0.9468365975422427,0.9268,0.5,0.0,0.051391055999999935
1,6403006,64,20,3,0.0,UPGMA,41664,39449,0.9468365975422427,0.9818,0.7096774193548387,0.0,0.5222538869999767
1,6403006,64,20,3,0.0,NeighborJoining,41664,39449,0.9468365975422427,0.9834,0.6774193548387097,0.0,0.5040664520000178
2,6403007,64,20,3,0.0,FullTripletTMC_SMJ16,41664,39307,0.9434283794162827,0.9468,0.6779661016949152,1.0236200229999781,6.40835218899997
2,6403007,64,20,3,0.0,VanillaGreedy,41664,39307,0.9434283794162827,0.7484,0.3870967741935484,0.0,0.04908289000002242
2,6403007,64,20,3,0.0,UPGMA,41664,39307,0.9434283794162827,0.9536,0.6451612903225806,0.0,0.3811145280000119
2,6403007,64,20,3,0.0,NeighborJoining,41664,39307,0.9434283794162827,0.9438,0.7096774193548387,0.0,0.3686442669999792
3,6403008,64,20,3,0.0,FullTripletTMC_SMJ16,41664,36684,0.8804723502304147,0.956,0.8135593220338984,0.9989470399999618,6.25790733499997
3,6403008,64,20,3,0.0,VanillaGreedy,41664,36684,0.8804723502304147,0.5822,0.5967741935483871,0.0,0.040149014999997235
3,6403008,64,20,3,0.0,UPGMA,41664,36684,0.8804723502304147,0.7176,0.7903225806451613,0.0,0.3746692830000029
3,6403008,64,20,3,0.0,NeighborJoining,41664,36684,0.8804723502304147,0.7768,0.8225806451612903,0.0,0.4315297689999511
4,6403009,64,20,3,0.0,FullTripletTMC_SMJ16,41664,37236,0.893721198156682,0.8776,0.711864406779661,0.9295698290000018,6.273452169999985
4,6403009,64,20,3,0.0,VanillaGreedy,41664,37236,0.893721198156682,0.6832,0.5,0.0,0.06237020700001494
4,6403009,64,20,3,0.0,UPGMA,41664,37236,0.893721198156682,0.9286,0.7741935483870968,0.0,0.5177420350000261
4,6403009,64,20,3,0.0,NeighborJoining,41664,37236,0.893721198156682,0.9676,0.8225806451612903,0.0,0.5086549819999959
