seed,topology_model,n_cells,n_sites,edit_states,dominant_state_prob,missing_rate,mutation_rate,repeat,triplet_samples_requested,sampled_triplets_inferred,possible_triplets,sampled_triplet_coverage,min_signal_gap,simulation_seconds,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,status,error
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,ConfidentWeightedTMC_SMJ32,0.9976,0.4578313253012048,1.8572319979999747,65.070072955,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,VanillaGreedy,0.8542,0.603921568627451,0.0,0.8413026299999729,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,UPGMA,0.9826,0.7,0.0,1.5493431279999186,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,NeighborJoining,0.9558,0.7803921568627451,0.0,2.722945654999989,ok,nan
805122033,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,7,50000,45699,22238720,0.91398,0.03,0.2624451199999384,ConfidentWeightedTMC_SMJ32,0.9948,0.4312938816449347,2.3675584270000627,82.66294076200006,ok,nan
805122033,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,7,50000,45699,22238720,0.91398,0.03,0.2624451199999384,VanillaGreedy,0.9744,0.592737978410206,0.0,0.7629603809999708,ok,nan
805122033,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,7,50000,45699,22238720,0.91398,0.03,0.2624451199999384,UPGMA,0.9962,0.6607843137254902,0.0,1.4358982500000366,ok,nan
805122033,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,7,50000,45699,22238720,0.91398,0.03,0.2624451199999384,NeighborJoining,0.9974,0.7960784313725491,0.0,1.6287514040000133,ok,nan
805122034,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,8,50000,46414,22238720,0.92828,0.03,0.2786699150000231,ConfidentWeightedTMC_SMJ32,0.9954,0.4749498997995992,2.380424725000012,63.41830903799996,ok,nan
805122034,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,8,50000,46414,22238720,0.92828,0.03,0.2786699150000231,VanillaGreedy,0.952,0.6568627450980392,0.0,0.906108108000126,ok,nan
805122034,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,8,50000,46414,22238720,0.92828,0.03,0.2786699150000231,UPGMA,0.9954,0.6862745098039216,0.0,1.5974265539998669,ok,nan
805122034,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,8,50000,46414,22238720,0.92828,0.03,0.2786699150000231,NeighborJoining,0.8046,0.7784313725490196,0.0,1.858771202999833,ok,nan
805122035,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,9,50000,46312,22238720,0.92624,0.03,0.2994050209999841,ConfidentWeightedTMC_SMJ32,0.9878,0.3791374122367101,2.558069221999858,71.310616665,ok,nan
805122035,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,9,50000,46312,22238720,0.92624,0.03,0.2994050209999841,VanillaGreedy,0.9692,0.6137254901960785,0.0,0.8585383130000537,ok,nan
805122035,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,9,50000,46312,22238720,0.92624,0.03,0.2994050209999841,UPGMA,0.987,0.692156862745098,0.0,1.1539952630000698,ok,nan
805122035,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,9,50000,46312,22238720,0.92624,0.03,0.2994050209999841,NeighborJoining,0.996,0.8294117647058823,0.0,1.7019251890001217,ok,nan
805122036,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,10,50000,46287,22238720,0.92574,0.03,0.1900576210000508,ConfidentWeightedTMC_SMJ32,0.9892,0.3851554663991976,1.8500284270000973,78.485210564,ok,nan
805122036,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,10,50000,46287,22238720,0.92574,0.03,0.1900576210000508,VanillaGreedy,0.9504,0.6647058823529413,0.0,0.7782977609999762,ok,nan
805122036,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,10,50000,46287,22238720,0.92574,0.03,0.1900576210000508,UPGMA,0.995,0.6666666666666667,0.0,1.3847308029999112,ok,nan
805122036,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,10,50000,46287,22238720,0.92574,0.03,0.1900576210000508,NeighborJoining,0.9956,0.8098039215686275,0.0,1.4311099340000055,ok,nan
805122037,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,11,50000,47574,22238720,0.95148,0.03,0.2138078839998343,ConfidentWeightedTMC_SMJ32,0.9586,0.3015075376884422,2.337676219000059,66.782568116,ok,nan
805122037,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,11,50000,47574,22238720,0.95148,0.03,0.2138078839998343,VanillaGreedy,0.9172,0.6274509803921569,0.0,1.0981918600000429,ok,nan
805122037,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,11,50000,47574,22238720,0.95148,0.03,0.2138078839998343,UPGMA,0.9732,0.6862745098039216,0.0,1.688291315000015,ok,nan
805122037,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,11,50000,47574,22238720,0.95148,0.03,0.2138078839998343,NeighborJoining,0.9668,0.7764705882352941,0.0,1.377524809000079,ok,nan
805122038,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,12,50000,46368,22238720,0.92736,0.03,0.2205783110000538,ConfidentWeightedTMC_SMJ32,0.9912,0.3547094188376753,1.872970032000012,57.93292784000005,ok,nan
805122038,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,12,50000,46368,22238720,0.92736,0.03,0.2205783110000538,VanillaGreedy,0.9094,0.6568627450980392,0.0,0.7635295259999566,ok,nan
805122038,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,12,50000,46368,22238720,0.92736,0.03,0.2205783110000538,UPGMA,0.9984,0.6549019607843137,0.0,1.2837144949999129,ok,nan
805122038,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,12,50000,46368,22238720,0.92736,0.03,0.2205783110000538,NeighborJoining,0.975,0.7803921568627451,0.0,1.438899665000008,ok,nan
805122039,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,13,50000,44855,22238720,0.8971,0.03,0.1979697639999358,ConfidentWeightedTMC_SMJ32,0.9734,0.4364364364364365,1.8381166609999584,56.05020708800021,ok,nan
805122039,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,13,50000,44855,22238720,0.8971,0.03,0.1979697639999358,VanillaGreedy,0.9494,0.6372549019607843,0.0,0.5895706119999886,ok,nan
805122039,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,13,50000,44855,22238720,0.8971,0.03,0.1979697639999358,UPGMA,0.9688,0.6725490196078432,0.0,1.055008669000017,ok,nan
805122039,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,13,50000,44855,22238720,0.8971,0.03,0.1979697639999358,NeighborJoining,0.9788,0.8098039215686275,0.0,1.210685847999912,ok,nan
805122040,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,14,50000,45810,22238720,0.9162,0.03,0.1742652970001472,ConfidentWeightedTMC_SMJ32,0.9872,0.3714859437751003,1.80795185199986,57.778540680000106,ok,nan
805122040,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,14,50000,45810,22238720,0.9162,0.03,0.1742652970001472,VanillaGreedy,0.7722,0.6555446516192345,0.0,0.6765904149999642,ok,nan
805122040,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,14,50000,45810,22238720,0.9162,0.03,0.1742652970001472,UPGMA,0.9924,0.6235294117647059,0.0,1.2484109579997948,ok,nan
805122040,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,14,50000,45810,22238720,0.9162,0.03,0.1742652970001472,NeighborJoining,0.998,0.7862745098039216,0.0,1.1068461050001588,ok,nan
805122041,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,15,50000,46319,22238720,0.92638,0.03,0.1567522500001814,ConfidentWeightedTMC_SMJ32,0.997,0.498997995991984,1.4629412280000906,47.606620196999984,ok,nan
805122041,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,15,50000,46319,22238720,0.92638,0.03,0.1567522500001814,VanillaGreedy,0.9102,0.696078431372549,0.0,0.8180093739999847,ok,nan
805122041,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,15,50000,46319,22238720,0.92638,0.03,0.1567522500001814,UPGMA,0.9966,0.7901960784313725,0.0,1.0888758529999905,ok,nan
805122041,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,15,50000,46319,22238720,0.92638,0.03,0.1567522500001814,NeighborJoining,0.994,0.8549019607843137,0.0,1.2811371909999707,ok,nan
805122042,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,16,50000,46198,22238720,0.92396,0.03,0.1614358700001048,ConfidentWeightedTMC_SMJ32,0.994,0.3967935871743486,1.9000510850000865,55.762041533,ok,nan
