Algorithm,RF_Score
Vanilla Greedy,0.3114754098360656
Vanilla Greedy,0.21311475409836064
Vanilla Greedy,0.3770491803278688
Vanilla Greedy,0.33884297520661155
Vanilla Greedy,0.3442622950819672
Vanilla Greedy,0.2396694214876033
Vanilla Greedy,0.3442622950819672
Vanilla Greedy,0.35537190082644626
Vanilla Greedy,0.26229508196721313
Vanilla Greedy,0.26229508196721313
Vanilla Greedy,0.2786885245901639
Vanilla Greedy,0.36065573770491804
Vanilla Greedy,0.32786885245901637
Vanilla Greedy,0.36065573770491804
Vanilla Greedy,0.4426229508196721
Vanilla Greedy,0.371900826446281
Vanilla Greedy,0.3770491803278688
Vanilla Greedy,0.36065573770491804
Vanilla Greedy,0.22950819672131148
Vanilla Greedy,0.3442622950819672
Vanilla Greedy,0.32786885245901637
Vanilla Greedy,0.39344262295081966
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.016666666666666666
UPGMA,0.04132231404958678
UPGMA,0.0
UPGMA,0.016666666666666666
UPGMA,0.0
UPGMA,0.008264462809917356
UPGMA,0.024793388429752067
UPGMA,0.008264462809917356
UPGMA,0.0
UPGMA,0.01639344262295082
UPGMA,0.016666666666666666
UPGMA,0.05
UPGMA,0.024793388429752067
UPGMA,0.04201680672268908
UPGMA,0.05785123966942149
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.025210084033613446
UPGMA,0.008264462809917356
UPGMA,0.058823529411764705
UPGMA,0.025210084033613446
UPGMA,0.016666666666666666
UPGMA,0.1
UPGMA,0.03278688524590164
UPGMA,0.0
UPGMA,0.008264462809917356
UPGMA,0.06666666666666667
UPGMA,0.03333333333333333
UPGMA,0.008264462809917356
UPGMA,0.01639344262295082
UPGMA,0.024793388429752067
UPGMA,0.03333333333333333
UPGMA,0.0
UPGMA,0.03333333333333333
UPGMA,0.05
UPGMA,0.04201680672268908
UPGMA,0.01639344262295082
UPGMA,0.016666666666666666
UPGMA,0.025210084033613446
UPGMA,0.04132231404958678
UPGMA,0.024793388429752067
UPGMA,0.05172413793103448
UPGMA,0.024793388429752067
UPGMA,0.008264462809917356
UPGMA,0.025210084033613446
UPGMA,0.0
UPGMA,0.024793388429752067
UPGMA,0.03333333333333333
UPGMA,0.07692307692307693
UPGMA,0.03278688524590164
UPGMA,0.04918032786885246
UPGMA,0.016666666666666666
UPGMA,0.05785123966942149
UPGMA,0.042735042735042736
UPGMA,0.058823529411764705
UPGMA,0.024793388429752067
UPGMA,0.025210084033613446
UPGMA,0.0
UPGMA,0.024793388429752067
UPGMA,0.016666666666666666
UPGMA,0.0
UPGMA,0.016666666666666666
UPGMA,0.024793388429752067
