Simulation_ID,Required_k,Target_Accuracy,Type
3,40,1.0,Simulated (MAX-Cut)
4,40,1.0,Simulated (MAX-Cut)
5,40,0.9752,Simulated (MAX-Cut)
6,40,0.9972,Simulated (MAX-Cut)
7,40,0.9996,Simulated (MAX-Cut)
8,40,0.9964,Simulated (MAX-Cut)
9,40,1.0,Simulated (MAX-Cut)
10,40,0.9992,Simulated (MAX-Cut)
11,40,0.974,Simulated (MAX-Cut)
12,40,1.0,Simulated (MAX-Cut)
13,40,0.9918,Simulated (MAX-Cut)
14,40,0.9998,Simulated (MAX-Cut)
15,40,0.9754,Simulated (MAX-Cut)
16,40,0.999,Simulated (MAX-Cut)
17,40,0.9754,Simulated (MAX-Cut)
18,40,0.994,Simulated (MAX-Cut)
19,40,1.0,Simulated (MAX-Cut)
20,40,0.988,Simulated (MAX-Cut)
1,50,1.0,Simulated (MAX-Cut)
2,50,1.0,Simulated (MAX-Cut)
3,50,1.0,Simulated (MAX-Cut)
4,50,1.0,Simulated (MAX-Cut)
5,50,1.0,Simulated (MAX-Cut)
6,50,1.0,Simulated (MAX-Cut)
7,50,1.0,Simulated (MAX-Cut)
8,50,0.9996,Simulated (MAX-Cut)
9,50,0.9964,Simulated (MAX-Cut)
10,50,0.9998,Simulated (MAX-Cut)
11,50,1.0,Simulated (MAX-Cut)
12,50,1.0,Simulated (MAX-Cut)
13,50,0.971,Simulated (MAX-Cut)
14,50,1.0,Simulated (MAX-Cut)
15,50,0.9758,Simulated (MAX-Cut)
16,50,1.0,Simulated (MAX-Cut)
17,50,1.0,Simulated (MAX-Cut)
18,50,0.974,Simulated (MAX-Cut)
19,50,0.997,Simulated (MAX-Cut)
20,50,1.0,Simulated (MAX-Cut)
1,75,1.0,Simulated (MAX-Cut)
2,75,1.0,Simulated (MAX-Cut)
3,75,1.0,Simulated (MAX-Cut)
4,75,1.0,Simulated (MAX-Cut)
5,75,0.997,Simulated (MAX-Cut)
6,75,1.0,Simulated (MAX-Cut)
7,75,0.9966,Simulated (MAX-Cut)
8,75,1.0,Simulated (MAX-Cut)
9,75,0.9992,Simulated (MAX-Cut)
10,75,1.0,Simulated (MAX-Cut)
11,75,0.9962,Simulated (MAX-Cut)
12,75,1.0,Simulated (MAX-Cut)
13,75,1.0,Simulated (MAX-Cut)
14,75,1.0,Simulated (MAX-Cut)
15,75,1.0,Simulated (MAX-Cut)
16,75,1.0,Simulated (MAX-Cut)
17,75,1.0,Simulated (MAX-Cut)
18,75,0.801,Simulated (MAX-Cut)
19,75,1.0,Simulated (MAX-Cut)
20,75,1.0,Simulated (MAX-Cut)
