repeat,seed,n_cells,n_sites,edit_states,missing_rate,algorithm,possible_triplets,inferred_triplets,triplet_coverage,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds
9,6403014,64,30,3,0.0,NeighborJoining,41664,40112,0.9627496159754224,0.9604,0.7580645161290323,0.0,0.725403746999973
10,6403015,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39781,0.9548051075268817,0.9234,0.8135593220338984,1.004995177000012,7.009101096999984
10,6403015,64,30,3,0.0,VanillaGreedy,41664,39781,0.9548051075268817,0.8214,0.5806451612903225,0.0,0.07102214300005016
10,6403015,64,30,3,0.0,UPGMA,41664,39781,0.9548051075268817,0.9942,0.8709677419354839,0.0,0.7875281209999798
10,6403015,64,30,3,0.0,NeighborJoining,41664,39781,0.9548051075268817,0.9398,0.8387096774193549,0.0,0.6101185230000397
11,6403016,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39110,0.9387000768049155,0.9334,0.8235294117647058,1.1158160030000204,5.598359235000032
11,6403016,64,30,3,0.0,VanillaGreedy,41664,39110,0.9387000768049155,0.6234,0.5806451612903225,0.0,0.062457898999980443
11,6403016,64,30,3,0.0,UPGMA,41664,39110,0.9387000768049155,0.7808,0.7741935483870968,0.0,0.4516376109999669
11,6403016,64,30,3,0.0,NeighborJoining,41664,39110,0.9387000768049155,0.7658,0.7903225806451613,0.0,0.4536806070000239
12,6403017,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39608,0.950652841781874,0.9262,0.8739495798319328,1.0103590630000099,6.251771445999964
12,6403017,64,30,3,0.0,VanillaGreedy,41664,39608,0.950652841781874,0.882,0.6129032258064516,0.0,0.059107553000046664
12,6403017,64,30,3,0.0,UPGMA,41664,39608,0.950652841781874,0.9956,0.8548387096774194,0.0,0.432220841000003
12,6403017,64,30,3,0.0,NeighborJoining,41664,39608,0.950652841781874,0.9936,0.8387096774193549,0.0,0.4622751210000047
13,6403018,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39289,0.9429963517665131,0.945,0.864406779661017,1.0690737450000256,7.7625639620000015
13,6403018,64,30,3,0.0,VanillaGreedy,41664,39289,0.9429963517665131,0.5556,0.5161290322580645,0.0,0.06425796600001377
13,6403018,64,30,3,0.0,UPGMA,41664,39289,0.9429963517665131,0.9748,0.8064516129032258,0.0,0.41501372100003664
13,6403018,64,30,3,0.0,NeighborJoining,41664,39289,0.9429963517665131,0.9706,0.8548387096774194,0.0,0.4449499099999912
14,6403019,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37672,0.9041858678955453,0.676,0.7627118644067796,0.9886222459999772,7.192362414999991
14,6403019,64,30,3,0.0,VanillaGreedy,41664,37672,0.9041858678955453,0.771,0.532258064516129,0.0,0.06959287400002268
14,6403019,64,30,3,0.0,UPGMA,41664,37672,0.9041858678955453,0.7674,0.8225806451612903,0.0,0.4367941959999939
14,6403019,64,30,3,0.0,NeighborJoining,41664,37672,0.9041858678955453,0.7882,0.8709677419354839,0.0,0.4238848709999843
15,6403020,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38098,0.9144105222734255,0.921,0.8813559322033898,1.0222198669999898,7.646844747999978
15,6403020,64,30,3,0.0,VanillaGreedy,41664,38098,0.9144105222734255,0.7416,0.5967741935483871,0.0,0.05789246999995612
15,6403020,64,30,3,0.0,UPGMA,41664,38098,0.9144105222734255,0.9656,0.8709677419354839,0.0,0.44521048199999314
15,6403020,64,30,3,0.0,NeighborJoining,41664,38098,0.9144105222734255,0.9672,0.9193548387096774,0.0,0.46585635400003866
16,6403021,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39743,0.953893049155146,0.961,0.8547008547008547,0.9831659089999789,9.50463519799996
16,6403021,64,30,3,0.0,VanillaGreedy,41664,39743,0.953893049155146,0.715,0.6290322580645161,0.0,0.0688412709999966
16,6403021,64,30,3,0.0,UPGMA,41664,39743,0.953893049155146,0.9998,0.9193548387096774,0.0,0.5925714850000077
16,6403021,64,30,3,0.0,NeighborJoining,41664,39743,0.953893049155146,0.9988,0.935483870967742,0.0,0.5984164089999808
17,6403022,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38780,0.9307795698924731,0.9246,0.8571428571428572,1.0193137910000019,5.325825918000021
17,6403022,64,30,3,0.0,VanillaGreedy,41664,38780,0.9307795698924731,0.94,0.467741935483871,0.0,0.06643570200003523
17,6403022,64,30,3,0.0,UPGMA,41664,38780,0.9307795698924731,0.9986,0.8709677419354839,0.0,0.4006635100000153
17,6403022,64,30,3,0.0,NeighborJoining,41664,38780,0.9307795698924731,0.9974,0.8225806451612903,0.0,0.4771113389999755
18,6403023,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38724,0.9294354838709677,0.9214,0.8403361344537815,1.0453271449999875,5.484094426000013
18,6403023,64,30,3,0.0,VanillaGreedy,41664,38724,0.9294354838709677,0.8484,0.5967741935483871,0.0,0.060910412999987784
18,6403023,64,30,3,0.0,UPGMA,41664,38724,0.9294354838709677,0.9956,0.8548387096774194,0.0,0.4243958490000068
18,6403023,64,30,3,0.0,NeighborJoining,41664,38724,0.9294354838709677,0.9422,0.8548387096774194,0.0,0.3976911039999891
19,6403024,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39129,0.9391561059907834,0.9326,0.7457627118644068,0.924542310999982,6.325798690999989
19,6403024,64,30,3,0.0,VanillaGreedy,41664,39129,0.9391561059907834,0.594,0.5691056910569106,0.0,0.04865739500002064
19,6403024,64,30,3,0.0,UPGMA,41664,39129,0.9391561059907834,0.7758,0.7903225806451613,0.0,0.4032501299999467
19,6403024,64,30,3,0.0,NeighborJoining,41664,39129,0.9391561059907834,0.756,0.8225806451612903,0.0,0.4515785469999969
20,6403025,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39347,0.944388440860215,0.9396,0.7796610169491526,0.8761143520000019,6.466066764000004
20,6403025,64,30,3,0.0,VanillaGreedy,41664,39347,0.944388440860215,0.738,0.5,0.0,0.0703066820000231
20,6403025,64,30,3,0.0,UPGMA,41664,39347,0.944388440860215,0.9978,0.8064516129032258,0.0,0.42974667799995814
20,6403025,64,30,3,0.0,NeighborJoining,41664,39347,0.944388440860215,0.9972,0.7903225806451613,0.0,0.4299191179999866
21,6403026,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37732,0.9056259600614439,0.8894,0.8235294117647058,0.9170118549999984,5.097105248000048
21,6403026,64,30,3,0.0,VanillaGreedy,41664,37732,0.9056259600614439,0.5666,0.4516129032258065,0.0,0.05845462400003498
21,6403026,64,30,3,0.0,UPGMA,41664,37732,0.9056259600614439,0.9996,0.9032258064516129,0.0,0.3974226750000298
21,6403026,64,30,3,0.0,NeighborJoining,41664,37732,0.9056259600614439,0.7122,0.8870967741935484,0.0,0.4057701390000261
22,6403027,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37588,0.9021697388632872,0.7426,0.8135593220338984,0.905057700000043,6.265192415000001
22,6403027,64,30,3,0.0,VanillaGreedy,41664,37588,0.9021697388632872,0.6442,0.5483870967741935,0.0,0.05472010800002636
22,6403027,64,30,3,0.0,UPGMA,41664,37588,0.9021697388632872,0.7314,0.9516129032258065,0.0,0.4052156380000156
22,6403027,64,30,3,0.0,NeighborJoining,41664,37588,0.9021697388632872,0.8134,0.8870967741935484,0.0,0.4091262379999989
23,6403028,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39247,0.941988287250384,0.9354,0.8813559322033898,0.9557082840000248,6.708037237999974
23,6403028,64,30,3,0.0,VanillaGreedy,41664,39247,0.941988287250384,0.7618,0.5806451612903225,0.0,0.04825964299999441
23,6403028,64,30,3,0.0,UPGMA,41664,39247,0.941988287250384,0.981,0.8548387096774194,0.0,0.4149282359999802
23,6403028,64,30,3,0.0,NeighborJoining,41664,39247,0.941988287250384,0.9736,0.8870967741935484,0.0,0.39402420699997265
24,6403029,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39730,0.9535810291858678,0.9436,0.847457627118644,0.9179145289999724,6.006942127000002
24,6403029,64,30,3,0.0,VanillaGreedy,41664,39730,0.9535810291858678,0.748,0.5967741935483871,0.0,0.05244337299996005
24,6403029,64,30,3,0.0,UPGMA,41664,39730,0.9535810291858678,0.9902,0.8548387096774194,0.0,0.3892000910000206
24,6403029,64,30,3,0.0,NeighborJoining,41664,39730,0.9535810291858678,0.9934,0.8225806451612903,0.0,0.40384515499999907
25,6403030,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38114,0.9147945468509985,0.9254,0.7899159663865546,0.8706733850000319,4.862863628000014
25,6403030,64,30,3,0.0,VanillaGreedy,41664,38114,0.9147945468509985,0.7244,0.4516129032258065,0.0,0.054357101999983115
25,6403030,64,30,3,0.0,UPGMA,41664,38114,0.9147945468509985,0.9858,0.6935483870967742,0.0,0.4321755089999897
25,6403030,64,30,3,0.0,NeighborJoining,41664,38114,0.9147945468509985,0.8464,0.8225806451612903,0.0,0.7133485589999964
26,6403031,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38153,0.9157306067588326,0.9204,0.9243697478991597,1.046890870000027,5.026311891000034
26,6403031,64,30,3,0.0,VanillaGreedy,41664,38153,0.9157306067588326,0.767,0.5483870967741935,0.0,0.04972642700005281
26,6403031,64,30,3,0.0,UPGMA,41664,38153,0.9157306067588326,0.8386,0.967741935483871,0.0,0.4203988629999458
26,6403031,64,30,3,0.0,NeighborJoining,41664,38153,0.9157306067588326,0.797,0.9516129032258065,0.0,0.37678269599996383
27,6403032,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39028,0.936731950844854,0.9476,0.7796610169491526,0.9270869309999625,6.015110688999982
27,6403032,64,30,3,0.0,VanillaGreedy,41664,39028,0.936731950844854,0.7128,0.5483870967741935,0.0,0.06842111299999942
27,6403032,64,30,3,0.0,UPGMA,41664,39028,0.936731950844854,0.9998,0.935483870967742,0.0,0.3995981500000312
27,6403032,64,30,3,0.0,NeighborJoining,41664,39028,0.936731950844854,0.9984,0.8870967741935484,0.0,0.37859387700001434
28,6403033,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38496,0.923963133640553,0.9424,0.9152542372881356,0.8837980209999614,6.679233395999972
28,6403033,64,30,3,0.0,VanillaGreedy,41664,38496,0.923963133640553,0.6742,0.5161290322580645,0.0,0.06863035100002435
28,6403033,64,30,3,0.0,UPGMA,41664,38496,0.923963133640553,0.9966,0.9032258064516129,0.0,0.4219848660000025
28,6403033,64,30,3,0.0,NeighborJoining,41664,38496,0.923963133640553,0.9946,0.9193548387096774,0.0,0.4932009389999621
29,6403034,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37722,0.9053859447004609,0.9428,0.9152542372881356,1.217104591000009,6.651947815999961
29,6403034,64,30,3,0.0,VanillaGreedy,41664,37722,0.9053859447004609,0.6862,0.6129032258064516,0.0,0.05686934099998098
29,6403034,64,30,3,0.0,UPGMA,41664,37722,0.9053859447004609,0.8048,0.935483870967742,0.0,0.42761020799997596
29,6403034,64,30,3,0.0,NeighborJoining,41664,37722,0.9053859447004609,0.8062,0.935483870967742,0.0,0.4773172220000106
30,6403035,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39770,0.9545410906298003,0.932,0.7966101694915254,1.0990955120000194,6.057576630000028
30,6403035,64,30,3,0.0,VanillaGreedy,41664,39770,0.9545410906298003,0.7492,0.6129032258064516,0.0,0.05689482799999723
30,6403035,64,30,3,0.0,UPGMA,41664,39770,0.9545410906298003,0.9854,0.8064516129032258,0.0,0.3897272629999975
30,6403035,64,30,3,0.0,NeighborJoining,41664,39770,0.9545410906298003,0.9896,0.8225806451612903,0.0,0.41472700400004214
31,6403036,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39428,0.9463325652841782,0.9256,0.6554621848739496,0.9565324449999935,5.8314799860000335
31,6403036,64,30,3,0.0,VanillaGreedy,41664,39428,0.9463325652841782,0.6458,0.5483870967741935,0.0,0.05631883500001322
31,6403036,64,30,3,0.0,UPGMA,41664,39428,0.9463325652841782,0.9976,0.7580645161290323,0.0,0.3922867089999613
31,6403036,64,30,3,0.0,NeighborJoining,41664,39428,0.9463325652841782,0.9944,0.7741935483870968,0.0,0.36744851899999276
32,6403037,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38290,0.9190188172043011,0.9484,0.8888888888888888,0.918028478999986,7.137911369999983
32,6403037,64,30,3,0.0,VanillaGreedy,41664,38290,0.9190188172043011,0.8566,0.5967741935483871,0.0,0.049577553999995416
32,6403037,64,30,3,0.0,UPGMA,41664,38290,0.9190188172043011,0.9704,0.9193548387096774,0.0,0.3690998100000229
32,6403037,64,30,3,0.0,NeighborJoining,41664,38290,0.9190188172043011,0.9762,0.8870967741935484,0.0,0.4039648579999948
33,6403038,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38129,0.9151545698924731,0.9612,0.8135593220338984,0.9004796639999881,6.063017060999982
33,6403038,64,30,3,0.0,VanillaGreedy,41664,38129,0.9151545698924731,0.8274,0.5,0.0,0.08147327300002871
33,6403038,64,30,3,0.0,UPGMA,41664,38129,0.9151545698924731,0.9998,0.9193548387096774,0.0,0.4409184000000437
33,6403038,64,30,3,0.0,NeighborJoining,41664,38129,0.9151545698924731,0.997,0.8225806451612903,0.0,0.4418156549999708
34,6403039,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39223,0.9414122503840245,0.9082,0.8403361344537815,0.9329629470000214,5.175845776000017
34,6403039,64,30,3,0.0,VanillaGreedy,41664,39223,0.9414122503840245,0.8984,0.564516129032258,0.0,0.051807257999996636
34,6403039,64,30,3,0.0,UPGMA,41664,39223,0.9414122503840245,0.9976,0.9193548387096774,0.0,0.3844060100000206
34,6403039,64,30,3,0.0,NeighborJoining,41664,39223,0.9414122503840245,0.9996,0.9516129032258065,0.0,0.38312607699992896
35,6403040,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37581,0.9020017281105991,0.9542,0.847457627118644,0.8993198530000655,6.111510370000019
35,6403040,64,30,3,0.0,VanillaGreedy,41664,37581,0.9020017281105991,0.6208,0.5161290322580645,0.0,0.048758713999973224
35,6403040,64,30,3,0.0,UPGMA,41664,37581,0.9020017281105991,0.9972,0.8709677419354839,0.0,0.38315794899995126
35,6403040,64,30,3,0.0,NeighborJoining,41664,37581,0.9020017281105991,0.8258,0.8709677419354839,0.0,0.42015672599995924
36,6403041,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39178,0.9403321812596006,0.9482,0.8813559322033898,0.9463298090000762,6.563715213000023
36,6403041,64,30,3,0.0,VanillaGreedy,41664,39178,0.9403321812596006,0.7474,0.4878048780487805,0.0,0.07226851499990516
36,6403041,64,30,3,0.0,UPGMA,41664,39178,0.9403321812596006,0.9608,0.8225806451612903,0.0,0.4011923749999369
36,6403041,64,30,3,0.0,NeighborJoining,41664,39178,0.9403321812596006,0.9386,0.8387096774193549,0.0,0.4055210020000004
37,6403042,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39630,0.9511808755760369,0.9324,0.8067226890756303,0.9492773690000149,5.055644844999961
37,6403042,64,30,3,0.0,VanillaGreedy,41664,39630,0.9511808755760369,0.6512,0.4552845528455285,0.0,0.15014747500003978
37,6403042,64,30,3,0.0,UPGMA,41664,39630,0.9511808755760369,0.9964,0.8064516129032258,0.0,1.330887227000062
37,6403042,64,30,3,0.0,NeighborJoining,41664,39630,0.9511808755760369,0.9974,0.8709677419354839,0.0,0.8732220990000314
38,6403043,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38997,0.9359879032258065,0.7424,0.728813559322034,1.1515388069999517,7.917029604000049
38,6403043,64,30,3,0.0,VanillaGreedy,41664,38997,0.9359879032258065,0.8076,0.5806451612903225,0.0,0.067316237
38,6403043,64,30,3,0.0,UPGMA,41664,38997,0.9359879032258065,0.9878,0.7903225806451613,0.0,0.5196349710000732
38,6403043,64,30,3,0.0,NeighborJoining,41664,38997,0.9359879032258065,0.799,0.7419354838709677,0.0,0.7498086489999878
39,6403044,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37714,0.9051939324116743,0.946,0.9322033898305084,1.1867577440000332,8.315779795999902
39,6403044,64,30,3,0.0,VanillaGreedy,41664,37714,0.9051939324116743,0.7624,0.564516129032258,0.0,0.08973325400006615
39,6403044,64,30,3,0.0,UPGMA,41664,37714,0.9051939324116743,0.992,0.9193548387096774,0.0,0.6018441090000124
39,6403044,64,30,3,0.0,NeighborJoining,41664,37714,0.9051939324116743,0.992,0.935483870967742,0.0,0.7378808949999893
40,6403045,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39372,0.9449884792626728,0.9192,0.8739495798319328,1.2479223540000248,5.61488960600002
40,6403045,64,30,3,0.0,VanillaGreedy,41664,39372,0.9449884792626728,0.8706,0.564516129032258,0.0,0.06155189399999017
40,6403045,64,30,3,0.0,UPGMA,41664,39372,0.9449884792626728,0.9964,0.8225806451612903,0.0,0.3840693060000149
40,6403045,64,30,3,0.0,NeighborJoining,41664,39372,0.9449884792626728,0.79,0.8064516129032258,0.0,0.3719041090000701
41,6403046,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38164,0.915994623655914,0.9256,0.9243697478991597,0.9054708549999759,5.167200691000062
41,6403046,64,30,3,0.0,VanillaGreedy,41664,38164,0.915994623655914,0.7388,0.564516129032258,0.0,0.05181116200003544
41,6403046,64,30,3,0.0,UPGMA,41664,38164,0.915994623655914,0.9942,0.8225806451612903,0.0,0.4005311900000379
41,6403046,64,30,3,0.0,NeighborJoining,41664,38164,0.915994623655914,0.9996,0.8870967741935484,0.0,0.47387536099995486
42,6403047,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38508,0.9242511520737328,0.9414,0.8983050847457628,1.0852942139999868,6.267977075999966
42,6403047,64,30,3,0.0,VanillaGreedy,41664,38508,0.9242511520737328,0.7286,0.4516129032258065,0.0,0.06392974599998524
42,6403047,64,30,3,0.0,UPGMA,41664,38508,0.9242511520737328,0.9994,0.8548387096774194,0.0,0.3864437070000122
42,6403047,64,30,3,0.0,NeighborJoining,41664,38508,0.9242511520737328,0.9806,0.8870967741935484,0.0,0.3996920700000146
43,6403048,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38456,0.9230030721966206,0.9242,0.8813559322033898,0.9050809589999744,5.892168897999909
