Algorithm,RF_Score
Vanilla Greedy,0.4032258064516129
Vanilla Greedy,0.3790322580645161
Vanilla Greedy,0.3493975903614458
Vanilla Greedy,0.336
Vanilla Greedy,0.3548387096774194
Vanilla Greedy,0.3684210526315789
UPGMA,0.02459016393442623
UPGMA,0.02040816326530612
UPGMA,0.03278688524590164
UPGMA,0.02459016393442623
UPGMA,0.02040816326530612
UPGMA,0.02857142857142857
UPGMA,0.008064516129032258
UPGMA,0.024390243902439025
UPGMA,0.02880658436213992
UPGMA,0.004016064257028112
UPGMA,0.024390243902439025
UPGMA,0.020242914979757085
UPGMA,0.02459016393442623
UPGMA,0.041666666666666664
UPGMA,0.016260162601626018
UPGMA,0.016260162601626018
UPGMA,0.03734439834024896
UPGMA,0.03305785123966942
UPGMA,0.02040816326530612
UPGMA,0.02459016393442623
UPGMA,0.04132231404958678
UPGMA,0.016260162601626018
UPGMA,0.02857142857142857
UPGMA,0.02040816326530612
UPGMA,0.02459016393442623
UPGMA,0.012145748987854251
UPGMA,0.012145748987854251
UPGMA,0.02880658436213992
UPGMA,0.016260162601626018
UPGMA,0.024390243902439025
UPGMA,0.02459016393442623
UPGMA,0.02880658436213992
UPGMA,0.02040816326530612
UPGMA,0.012145748987854251
UPGMA,0.02459016393442623
UPGMA,0.037037037037037035
UPGMA,0.024390243902439025
UPGMA,0.016260162601626018
UPGMA,0.040983606557377046
UPGMA,0.02857142857142857
UPGMA,0.02857142857142857
UPGMA,0.008
UPGMA,0.04564315352697095
UPGMA,0.024390243902439025
UPGMA,0.024390243902439025
UPGMA,0.02040816326530612
UPGMA,0.02880658436213992
UPGMA,0.049586776859504134
UPGMA,0.037037037037037035
UPGMA,0.012145748987854251
UPGMA,0.03278688524590164
UPGMA,0.012145748987854251
UPGMA,0.02857142857142857
UPGMA,0.008064516129032258
UPGMA,0.004016064257028112
UPGMA,0.004016064257028112
UPGMA,0.016260162601626018
UPGMA,0.03305785123966942
UPGMA,0.041666666666666664
UPGMA,0.016129032258064516
UPGMA,0.008064516129032258
UPGMA,0.016260162601626018
UPGMA,0.02857142857142857
UPGMA,0.02857142857142857
UPGMA,0.03734439834024896
UPGMA,0.024390243902439025
UPGMA,0.020242914979757085
UPGMA,0.0
UPGMA,0.008064516129032258
UPGMA,0.04918032786885246
UPGMA,0.008064516129032258
UPGMA,0.036734693877551024
UPGMA,0.03305785123966942
UPGMA,0.016260162601626018
UPGMA,0.016129032258064516
UPGMA,0.016260162601626018
UPGMA,0.016260162601626018
UPGMA,0.02459016393442623
UPGMA,0.044897959183673466
UPGMA,0.02040816326530612
UPGMA,0.02857142857142857
UPGMA,0.004016064257028112
UPGMA,0.008064516129032258
UPGMA,0.016260162601626018
UPGMA,0.012145748987854251
UPGMA,0.012145748987854251
UPGMA,0.03278688524590164
UPGMA,0.037037037037037035
UPGMA,0.008064516129032258
UPGMA,0.0
UPGMA,0.020242914979757085
UPGMA,0.02040816326530612
UPGMA,0.024390243902439025
UPGMA,0.037037037037037035
UPGMA,0.05
UPGMA,0.024390243902439025
UPGMA,0.0
UPGMA,0.004016064257028112
UPGMA,0.02040816326530612
UPGMA,0.024193548387096774
NeighborJoining,0.02040816326530612
NeighborJoining,0.02040816326530612
NeighborJoining,0.004016064257028112
NeighborJoining,0.016260162601626018
NeighborJoining,0.008064516129032258
NeighborJoining,0.004016064257028112
NeighborJoining,0.012145748987854251
NeighborJoining,0.008064516129032258
NeighborJoining,0.008064516129032258
NeighborJoining,0.016129032258064516
NeighborJoining,0.020242914979757085
NeighborJoining,0.004016064257028112
NeighborJoining,0.020242914979757085
NeighborJoining,0.016129032258064516
NeighborJoining,0.008064516129032258
NeighborJoining,0.0
NeighborJoining,0.03278688524590164
NeighborJoining,0.016129032258064516
NeighborJoining,0.008064516129032258
NeighborJoining,0.012145748987854251
NeighborJoining,0.004016064257028112
NeighborJoining,0.008064516129032258
NeighborJoining,0.004016064257028112
NeighborJoining,0.020080321285140562
NeighborJoining,0.016260162601626018
NeighborJoining,0.008064516129032258
NeighborJoining,0.012048192771084338
NeighborJoining,0.008064516129032258
NeighborJoining,0.012048192771084338
NeighborJoining,0.012145748987854251
NeighborJoining,0.008064516129032258
NeighborJoining,0.008064516129032258
NeighborJoining,0.0
NeighborJoining,0.004016064257028112
NeighborJoining,0.008064516129032258
NeighborJoining,0.020242914979757085
NeighborJoining,0.016129032258064516
NeighborJoining,0.004016064257028112
NeighborJoining,0.012048192771084338
NeighborJoining,0.004016064257028112
NeighborJoining,0.004016064257028112
NeighborJoining,0.004016064257028112
NeighborJoining,0.02040816326530612
NeighborJoining,0.004016064257028112
NeighborJoining,0.012145748987854251
NeighborJoining,0.004016064257028112
NeighborJoining,0.012145748987854251
NeighborJoining,0.016129032258064516
NeighborJoining,0.012145748987854251
NeighborJoining,0.004016064257028112
NeighborJoining,0.03643724696356275
NeighborJoining,0.004016064257028112
NeighborJoining,0.016260162601626018
NeighborJoining,0.012145748987854251
NeighborJoining,0.004016064257028112
NeighborJoining,0.0
NeighborJoining,0.012145748987854251
NeighborJoining,0.016260162601626018
NeighborJoining,0.016129032258064516
NeighborJoining,0.012048192771084338
NeighborJoining,0.008064516129032258
NeighborJoining,0.008064516129032258
NeighborJoining,0.016129032258064516
NeighborJoining,0.008064516129032258
NeighborJoining,0.016260162601626018
NeighborJoining,0.0
NeighborJoining,0.016129032258064516
NeighborJoining,0.008
NeighborJoining,0.004016064257028112
NeighborJoining,0.016129032258064516
NeighborJoining,0.012048192771084338
NeighborJoining,0.008064516129032258
NeighborJoining,0.02880658436213992
NeighborJoining,0.004016064257028112
NeighborJoining,0.0
NeighborJoining,0.020242914979757085
NeighborJoining,0.008
NeighborJoining,0.016260162601626018
NeighborJoining,0.008
NeighborJoining,0.004016064257028112
NeighborJoining,0.012145748987854251
NeighborJoining,0.008
NeighborJoining,0.008
NeighborJoining,0.016
NeighborJoining,0.004016064257028112
NeighborJoining,0.0
NeighborJoining,0.016
NeighborJoining,0.012145748987854251
NeighborJoining,0.004016064257028112
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.008064516129032258
NeighborJoining,0.004016064257028112
NeighborJoining,0.016129032258064516
NeighborJoining,0.03278688524590164
NeighborJoining,0.012048192771084338
NeighborJoining,0.0
NeighborJoining,0.008
NeighborJoining,0.012145748987854251
NeighborJoining,0.016
