seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122032,random_binary_leaf_splitting,512,30,0.1,0.8,6,50000,22238720,0.24933392999992066,48386,0.96772,VanillaGreedy,0.5884,0.025515210991167825,0.0,1.3171342779999122,1.1535768020000887,ok,
305122032,random_binary_leaf_splitting,512,30,0.1,0.8,6,50000,22238720,0.24933392999992066,48386,0.96772,UPGMA,0.5928,0.033333333333333326,0.0,1.5732055959999798,1.0144259619999048,ok,
305122032,random_binary_leaf_splitting,512,30,0.1,0.8,6,50000,22238720,0.24933392999992066,48386,0.96772,NeighborJoining,0.4946,0.025490196078431393,0.0,1.63035633100003,0.9725943769999503,ok,
305122033,random_binary_leaf_splitting,512,30,0.1,0.8,7,50000,22238720,0.2491841349999504,48408,0.96816,SampledRecursiveTMC_SMJ32,0.5026,0.0,2.0805210269998042,84.24308899499988,0.878937267000083,ok,
305122033,random_binary_leaf_splitting,512,30,0.1,0.8,7,50000,22238720,0.2491841349999504,48408,0.96816,VanillaGreedy,0.6284,0.019607843137254943,0.0,1.0467562409999118,0.8307889019999948,ok,
305122033,random_binary_leaf_splitting,512,30,0.1,0.8,7,50000,22238720,0.2491841349999504,48408,0.96816,UPGMA,0.554,0.04705882352941182,0.0,1.5974462770000173,0.7811011109999981,ok,
305122033,random_binary_leaf_splitting,512,30,0.1,0.8,7,50000,22238720,0.2491841349999504,48408,0.96816,NeighborJoining,0.4382,0.045098039215686225,0.0,1.3932570810000016,0.9284362880000572,ok,
305122034,random_binary_leaf_splitting,512,30,0.1,0.8,8,50000,22238720,0.27716244199996254,48256,0.96512,SampledRecursiveTMC_SMJ32,0.68,0.0,1.9844473309999557,71.69592025099996,0.8821607400000175,ok,
305122034,random_binary_leaf_splitting,512,30,0.1,0.8,8,50000,22238720,0.27716244199996254,48256,0.96512,VanillaGreedy,0.4962,0.019607843137254943,0.0,1.1643233390000205,0.8621524720001617,ok,
305122034,random_binary_leaf_splitting,512,30,0.1,0.8,8,50000,22238720,0.27716244199996254,48256,0.96512,UPGMA,0.6818,0.05490196078431375,0.0,1.9857927010000367,1.3286554589999469,ok,
305122034,random_binary_leaf_splitting,512,30,0.1,0.8,8,50000,22238720,0.27716244199996254,48256,0.96512,NeighborJoining,0.536,0.0607843137254902,0.0,1.8170056020001084,1.044807856000034,ok,
305122035,random_binary_leaf_splitting,512,30,0.1,0.8,9,50000,22238720,0.31626089199994567,48393,0.96786,SampledRecursiveTMC_SMJ32,0.6178,0.0,2.223509196999885,77.15211262399998,0.706051084000137,ok,
305122035,random_binary_leaf_splitting,512,30,0.1,0.8,9,50000,22238720,0.31626089199994567,48393,0.96786,VanillaGreedy,0.5724,0.039215686274509776,0.0,1.0843206909999026,0.8440933229999246,ok,
305122035,random_binary_leaf_splitting,512,30,0.1,0.8,9,50000,22238720,0.31626089199994567,48393,0.96786,UPGMA,0.6308,0.06666666666666665,0.0,1.563991858999998,0.7640678939999361,ok,
305122035,random_binary_leaf_splitting,512,30,0.1,0.8,9,50000,22238720,0.31626089199994567,48393,0.96786,NeighborJoining,0.5024,0.06862745098039214,0.0,1.340800075000061,0.7045948800000588,ok,
305122036,random_binary_leaf_splitting,512,30,0.1,0.8,10,50000,22238720,0.19756979600015256,48358,0.96716,SampledRecursiveTMC_SMJ32,0.552,0.0,1.709873466999852,64.82100053599993,0.6583871099999214,ok,
305122036,random_binary_leaf_splitting,512,30,0.1,0.8,10,50000,22238720,0.19756979600015256,48358,0.96716,VanillaGreedy,0.5698,0.015686274509803977,0.0,1.1738852049998059,0.8122823559999688,ok,
305122036,random_binary_leaf_splitting,512,30,0.1,0.8,10,50000,22238720,0.19756979600015256,48358,0.96716,UPGMA,0.5042,0.025490196078431393,0.0,1.2845987210000658,0.7476597099998799,ok,
