missing_rate,algorithm,n,triplet_mean,triplet_median,rf_mean,rf_median,infer_mean,solve_mean,inferred_triplets_mean
0.0,FullTripletTMC_SMJ16,50,0.9015080000000001,0.9237,0.7407344511033445,0.725751317476143,0.9693518750000021,6.114056941520008,37557.06
0.0,NeighborJoining,50,0.894576,0.9523999999999999,0.765483870967742,0.7741935483870968,0.0,0.47900522549999436,37557.06
0.0,UPGMA,50,0.906836,0.9613,0.736774193548387,0.75,0.0,0.5084236970200038,37557.06
0.0,VanillaGreedy,50,0.7408880000000001,0.7376,0.5144299699475049,0.5100970364542355,0.0,0.04360491099999758,37557.06
0.3,FullTripletTMC_SMJ16,50,0.876656,0.9246,0.22879619992282002,0.2203389830508474,0.9463591356399889,5.9481813558999965,37530.64
0.3,NeighborJoining,50,0.8199599999999999,0.7934,0.42032258064516126,0.4193548387096774,0.0,0.43154003278000347,37530.64
0.3,UPGMA,50,0.88182,0.9289000000000001,0.4361290322580645,0.4354838709677419,0.0,0.4324698813799819,37530.64
0.3,VanillaGreedy,50,0.735908,0.7434000000000001,0.2426054524426788,0.2419354838709677,0.0,0.05297731379999955,37530.64
