repeat,seed,n_cells,n_sites,edit_states,missing_rate,algorithm,possible_triplets,inferred_triplets,triplet_coverage,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds
0,6403005,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39811,0.955525153609831,0.9512,0.864406779661017,0.9948888680000039,9.595270152000012
0,6403005,64,30,5,0.0,VanillaGreedy,41664,39811,0.955525153609831,0.8486,0.6129032258064516,0.0,0.0633578340000156
0,6403005,64,30,5,0.0,UPGMA,41664,39811,0.955525153609831,0.999,0.9193548387096774,0.0,2.4260280469999884
0,6403005,64,30,5,0.0,NeighborJoining,41664,39811,0.955525153609831,0.9992,0.935483870967742,0.0,3.5557316830000048
1,6403006,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39188,0.9405721966205837,0.9242,0.9411764705882353,1.1131407170000216,5.818518958999988
1,6403006,64,30,5,0.0,VanillaGreedy,41664,39188,0.9405721966205837,0.7766,0.6612903225806452,0.0,0.06212129499999719
1,6403006,64,30,5,0.0,UPGMA,41664,39188,0.9405721966205837,0.9908,0.9032258064516129,0.0,0.4802347020000184
1,6403006,64,30,5,0.0,NeighborJoining,41664,39188,0.9405721966205837,0.9664,0.8548387096774194,0.0,0.45962223500001187
2,6403007,64,30,5,0.0,FullTripletTMC_SMJ16,41664,40500,0.9720622119815668,0.941,0.847457627118644,1.0044037909999872,7.071103954999984
2,6403007,64,30,5,0.0,VanillaGreedy,41664,40500,0.9720622119815668,0.7222,0.6774193548387097,0.0,0.05777069600000573
2,6403007,64,30,5,0.0,UPGMA,41664,40500,0.9720622119815668,0.9944,0.8387096774193549,0.0,0.4066906040000049
2,6403007,64,30,5,0.0,NeighborJoining,41664,40500,0.9720622119815668,0.9994,0.9032258064516129,0.0,0.43649187899998765
3,6403008,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39001,0.9360839093701997,0.952,0.8813559322033898,0.9609444620000147,7.060432539000004
3,6403008,64,30,5,0.0,VanillaGreedy,41664,39001,0.9360839093701997,0.7878,0.6774193548387097,0.0,0.05743885100000057
3,6403008,64,30,5,0.0,UPGMA,41664,39001,0.9360839093701997,1.0,0.9032258064516129,0.0,0.4820280719999914
3,6403008,64,30,5,0.0,NeighborJoining,41664,39001,0.9360839093701997,0.9986,0.8709677419354839,0.0,0.4434419709999986
4,6403009,64,30,5,0.0,FullTripletTMC_SMJ16,41664,37950,0.9108582949308756,0.926,0.8403361344537815,0.9532651919999751,6.080277407000011
4,6403009,64,30,5,0.0,VanillaGreedy,41664,37950,0.9108582949308756,0.7582,0.6290322580645161,0.0,0.061106109999997216
4,6403009,64,30,5,0.0,UPGMA,41664,37950,0.9108582949308756,0.7702,0.8709677419354839,0.0,0.44545707000000334
4,6403009,64,30,5,0.0,NeighborJoining,41664,37950,0.9108582949308756,1.0,0.9193548387096774,0.0,0.4646129580000036
5,6403010,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39587,0.9501488095238095,0.9556,0.9152542372881356,1.1794479349999847,7.1681350720000125
5,6403010,64,30,5,0.0,VanillaGreedy,41664,39587,0.9501488095238095,0.812,0.5806451612903225,0.0,0.061923211999982186
5,6403010,64,30,5,0.0,UPGMA,41664,39587,0.9501488095238095,0.9974,0.8548387096774194,0.0,0.46007200500000067
5,6403010,64,30,5,0.0,NeighborJoining,41664,39587,0.9501488095238095,0.9982,0.9193548387096774,0.0,0.429020013000013
6,6403011,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39716,0.9532450076804916,0.9372,0.8813559322033898,1.1283086109999942,7.080747252999998
6,6403011,64,30,5,0.0,VanillaGreedy,41664,39716,0.9532450076804916,0.7914,0.6290322580645161,0.0,0.06360232999998061
6,6403011,64,30,5,0.0,UPGMA,41664,39716,0.9532450076804916,0.9992,0.935483870967742,0.0,0.44913344399998323
6,6403011,64,30,5,0.0,NeighborJoining,41664,39716,0.9532450076804916,0.975,0.967741935483871,0.0,0.49804460899997594
7,6403012,64,30,5,0.0,FullTripletTMC_SMJ16,41664,38305,0.9193788402457758,0.9538,0.8305084745762712,1.3959136729999955,7.999057718999978
7,6403012,64,30,5,0.0,VanillaGreedy,41664,38305,0.9193788402457758,0.6676,0.6290322580645161,0.0,0.06270336800000109
7,6403012,64,30,5,0.0,UPGMA,41664,38305,0.9193788402457758,0.8476,0.8709677419354839,0.0,0.4530791230000091
7,6403012,64,30,5,0.0,NeighborJoining,41664,38305,0.9193788402457758,0.9964,0.8870967741935484,0.0,0.4231111109999972
8,6403013,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39774,0.9546370967741935,0.9492,0.8135593220338984,1.0030199379999942,6.980765203999994
8,6403013,64,30,5,0.0,VanillaGreedy,41664,39774,0.9546370967741935,0.721,0.6290322580645161,0.0,0.06677157699999725
8,6403013,64,30,5,0.0,UPGMA,41664,39774,0.9546370967741935,0.9962,0.8064516129032258,0.0,0.44394974600001547
8,6403013,64,30,5,0.0,NeighborJoining,41664,39774,0.9546370967741935,0.9974,0.9032258064516129,0.0,0.4537549909999825
9,6403014,64,30,5,0.0,FullTripletTMC_SMJ16,41664,40666,0.9760464669738863,0.9434,0.864406779661017,0.9305433959999903,7.113625448999983
9,6403014,64,30,5,0.0,VanillaGreedy,41664,40666,0.9760464669738863,0.949,0.6612903225806452,0.0,0.07331532000000607
9,6403014,64,30,5,0.0,UPGMA,41664,40666,0.9760464669738863,0.9922,0.7741935483870968,0.0,0.526519952000001
9,6403014,64,30,5,0.0,NeighborJoining,41664,40666,0.9760464669738863,0.9976,0.8870967741935484,0.0,0.6555921339999884
10,6403015,64,30,5,0.0,FullTripletTMC_SMJ16,41664,40347,0.9683899769585254,0.925,0.8305084745762712,1.3300766369999906,8.32805898800001
10,6403015,64,30,5,0.0,VanillaGreedy,41664,40347,0.9683899769585254,0.9128,0.6129032258064516,0.0,0.0622610229999907
10,6403015,64,30,5,0.0,UPGMA,41664,40347,0.9683899769585254,0.9952,0.8870967741935484,0.0,0.4940342579999992
10,6403015,64,30,5,0.0,NeighborJoining,41664,40347,0.9683899769585254,0.9334,0.8709677419354839,0.0,0.4940255230000048
11,6403016,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39383,0.9452524961597543,0.9336,0.8235294117647058,1.1102136990000133,8.003735995999989
11,6403016,64,30,5,0.0,VanillaGreedy,41664,39383,0.9452524961597543,0.7518,0.7419354838709677,0.0,0.08534276900002169
11,6403016,64,30,5,0.0,UPGMA,41664,39383,0.9452524961597543,0.999,0.8548387096774194,0.0,0.4578350950000072
11,6403016,64,30,5,0.0,NeighborJoining,41664,39383,0.9452524961597543,0.9992,0.8870967741935484,0.0,0.4719341859999986
12,6403017,64,30,5,0.0,FullTripletTMC_SMJ16,41664,40097,0.9623895929339478,0.926,0.8571428571428572,1.2027380600000015,7.206602932999999
12,6403017,64,30,5,0.0,VanillaGreedy,41664,40097,0.9623895929339478,0.7698,0.6129032258064516,0.0,0.3410502130000168
12,6403017,64,30,5,0.0,UPGMA,41664,40097,0.9623895929339478,0.9956,0.8709677419354839,0.0,0.5016417540000475
12,6403017,64,30,5,0.0,NeighborJoining,41664,40097,0.9623895929339478,0.9998,0.8870967741935484,0.0,0.6296962959999632
13,6403018,64,30,5,0.0,FullTripletTMC_SMJ16,41664,39412,0.9459485407066052,0.9446,0.864406779661017,1.408223477999968,9.23779724800005
13,6403018,64,30,5,0.0,VanillaGreedy,41664,39412,0.9459485407066052,0.8582,0.7258064516129032,0.0,0.07590670200005434
13,6403018,64,30,5,0.0,UPGMA,41664,39412,0.9459485407066052,0.9966,0.8870967741935484,0.0,0.5710959059999823
13,6403018,64,30,5,0.0,NeighborJoining,41664,39412,0.9459485407066052,0.9786,0.8709677419354839,0.0,0.5265748489999851
14,6403019,64,30,5,0.0,FullTripletTMC_SMJ16,41664,37990,0.911818356374808,0.9198,0.8907563025210083,1.1696616269999822,6.888320446000023
14,6403019,64,30,5,0.0,VanillaGreedy,41664,37990,0.911818356374808,0.7418,0.6774193548387097,0.0,0.0797968559999731
14,6403019,64,30,5,0.0,UPGMA,41664,37990,0.911818356374808,0.999,0.9032258064516129,0.0,0.4998480779999568
14,6403019,64,30,5,0.0,NeighborJoining,41664,37990,0.911818356374808,0.9998,0.8870967741935484,0.0,0.7405903719999856
