Algorithm,Triplet_Score
UPGMA,0.9746666666666668
UPGMA,0.9893333333333333
UPGMA,0.9393333333333332
UPGMA,0.959
UPGMA,0.9766666666666667
UPGMA,0.9873333333333334
UPGMA,0.9736666666666668
UPGMA,0.9596666666666666
UPGMA,0.9776666666666666
UPGMA,0.9793333333333333
UPGMA,0.9676666666666667
UPGMA,0.976
UPGMA,0.9660000000000001
UPGMA,0.9803333333333333
UPGMA,0.9823333333333334
UPGMA,0.9883333333333333
UPGMA,0.992
UPGMA,0.9733333333333333
UPGMA,0.977
UPGMA,0.9593333333333333
UPGMA,0.9833333333333334
UPGMA,0.9686666666666667
UPGMA,0.9700000000000001
UPGMA,0.993
UPGMA,0.972
UPGMA,0.967
UPGMA,0.9856666666666666
UPGMA,0.9896666666666666
UPGMA,0.9783333333333332
UPGMA,0.977
UPGMA,0.9436666666666665
UPGMA,0.9976666666666666
UPGMA,0.9523333333333333
UPGMA,0.9833333333333334
UPGMA,0.9856666666666668
UPGMA,0.9863333333333334
UPGMA,0.9793333333333333
UPGMA,0.9510000000000001
UPGMA,0.9613333333333333
UPGMA,0.9706666666666667
UPGMA,0.9700000000000001
UPGMA,0.9843333333333334
UPGMA,0.9703333333333332
UPGMA,0.996
UPGMA,0.9979999999999999
UPGMA,0.9943333333333334
UPGMA,0.988
UPGMA,0.9796666666666667
UPGMA,0.941
UPGMA,0.985
UPGMA,0.9953333333333333
UPGMA,0.9419999999999998
UPGMA,0.9729999999999999
UPGMA,0.9820000000000001
UPGMA,0.9580000000000001
UPGMA,0.9806666666666667
UPGMA,0.9853333333333335
UPGMA,1.0
UPGMA,0.9836666666666667
UPGMA,0.9780000000000001
UPGMA,0.9933333333333333
UPGMA,0.9540000000000001
UPGMA,0.967
UPGMA,0.9889999999999999
UPGMA,0.9883333333333333
UPGMA,0.981
UPGMA,0.9863333333333334
UPGMA,0.9763333333333333
UPGMA,0.9543333333333335
UPGMA,0.963
UPGMA,0.9723333333333333
UPGMA,0.9956666666666667
UPGMA,0.9926666666666666
UPGMA,0.9859999999999999
UPGMA,0.9899999999999999
UPGMA,0.9913333333333333
UPGMA,0.9643333333333333
UPGMA,0.972
UPGMA,0.992
UPGMA,1.0
UPGMA,0.9856666666666666
UPGMA,0.9883333333333333
UPGMA,0.9710000000000001
UPGMA,0.9640000000000001
UPGMA,0.964
UPGMA,0.9699999999999999
UPGMA,1.0
UPGMA,0.9979999999999999
UPGMA,0.9849999999999999
UPGMA,0.9806666666666667
NeighborJoining,0.9866666666666667
NeighborJoining,0.9886666666666667
NeighborJoining,0.9963333333333333
NeighborJoining,0.993
NeighborJoining,0.9940000000000001
NeighborJoining,0.997
NeighborJoining,0.9853333333333333
NeighborJoining,0.9946666666666667
NeighborJoining,0.9740000000000001
NeighborJoining,0.9916666666666667
NeighborJoining,0.9923333333333333
NeighborJoining,0.996
NeighborJoining,0.9703333333333334
NeighborJoining,0.9883333333333334
NeighborJoining,0.9940000000000001
NeighborJoining,1.0
NeighborJoining,0.9746666666666667
NeighborJoining,0.9913333333333334
NeighborJoining,0.9936666666666666
NeighborJoining,0.9886666666666667
NeighborJoining,0.9966666666666667
NeighborJoining,0.9910000000000001
NeighborJoining,0.988
NeighborJoining,0.9820000000000001
NeighborJoining,0.9859999999999999
NeighborJoining,0.9953333333333334
NeighborJoining,0.9943333333333332
NeighborJoining,0.9966666666666666
NeighborJoining,0.992
NeighborJoining,0.9706666666666667
NeighborJoining,0.9940000000000001
NeighborJoining,0.9896666666666666
NeighborJoining,1.0
NeighborJoining,0.9979999999999999
NeighborJoining,0.9903333333333334
NeighborJoining,0.9866666666666667
NeighborJoining,0.9933333333333333
NeighborJoining,0.996
NeighborJoining,0.9926666666666667
NeighborJoining,0.9979999999999999
NeighborJoining,0.9986666666666667
NeighborJoining,0.9856666666666666
NeighborJoining,0.9776666666666666
NeighborJoining,0.9979999999999999
NeighborJoining,0.9846666666666666
NeighborJoining,0.995
NeighborJoining,0.9923333333333333
NeighborJoining,0.985
NeighborJoining,0.9896666666666666
NeighborJoining,0.999
NeighborJoining,0.9726666666666667
NeighborJoining,0.995
NeighborJoining,0.9843333333333333
NeighborJoining,0.9926666666666666
NeighborJoining,0.9936666666666666
NeighborJoining,1.0
NeighborJoining,0.9953333333333334
NeighborJoining,0.9889999999999999
