,rf_mean,rf_mean,rf_median,rf_median,triplet_mean,triplet_mean,triplet_median,triplet_median
missing_rate,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.3
algorithm,,,,,,,,
ConfidentWeightedTMC_SMJ32,0.40050382809628565,0.0769136932224673,0.39579158316633256,0.07615238106712524,0.976552,0.9656279999999999,0.991,0.9749
NeighborJoining,0.8027058823529412,0.37799999999999995,0.8029411764705883,0.37058823529411766,0.942072,0.9309080000000001,0.9797,0.9606
UPGMA,0.6939215686274509,0.37086274509803924,0.6872549019607843,0.3784313725490196,0.946584,0.970612,0.9932000000000001,0.986
VanillaGreedy,0.6399054436298562,0.22120184246952143,0.6372549019607843,0.2176470588235294,0.9068640000000001,0.909976,0.925,0.9322999999999999
