algorithm,n,triplet_mean,triplet_median,triplet_q25,triplet_q75,rf_mean,rf_median,rf_q25,rf_q75,solve_seconds_mean
NeighborJoining,50,0.49,0.5024,0.4429,0.52815,0.04886274509803917,0.04803921568627455,0.03774509803921558,0.0607843137254902,1.4691107874000044
SampledRecursiveTMC_SMJ32,50,0.55908,0.5537000000000001,0.49415,0.611,0.0,0.0,0.0,0.0,67.96142274567997
UPGMA,50,0.594788,0.5825,0.51705,0.6484,0.048980392156862715,0.0470588235294118,0.0392156862745097,0.0549019607843137,1.4307731145000206
VanillaGreedy,50,0.596388,0.5951,0.5384,0.6576500000000001,0.025730687264407744,0.02452134926590845,0.0196078431372549,0.034803921568627424,1.1835046626000008
